index,date,link,new,new_reg,total,total_healthy,total_reg,Москва,Санкт-Петербург,Московская область,Ростовская область,Нижегородская область,Воронежская область,Архангельская область,Свердловская область,Кемеровская область,Ханты-Мансийский АО,Ставропольский край,Ульяновская область,Ямало-Ненецкий АО,Саратовская область,Волгоградская область,Красноярский край,Удмуртская Республика,Оренбургская область,Мурманская область,Самарская область,Республика Коми,Иркутская область,Томская область,Алтайский край,Республика Крым,Омская область,Республика Бурятия,Тюменская область,Краснодарский край,Республика Саха (Якутия),Пензенская область,Забайкальский край,Пермский край,Челябинская область,Республика Алтай,Орловская область,Республика Дагестан,Ленинградская область,Карачаево-Черкесская Республика,Хабаровский край,Кировская область,Приморский край,Калужская область,Калининградская область,Республика Калмыкия,Брянская область,Новосибирская область,Ивановская область,Тверская область,Белгородская область,Костромская область,Курская область,Курганская область,Владимирская область,Вологодская область,Новгородская область,Кабардино-Балкарская Республика,Ярославская область,Сахалинская область,Рязанская область,Астраханская область,Тамбовская область,Псковская область,Республика Хакасия,Республика Ингушетия,Республика Башкортостан,Липецкая область,Тульская область,Республика Мордовия,Амурская область,Магаданская область,Республика Адыгея,Республика Северная Осетия,Республика Тыва,Смоленская область,Севастополь,Республика Карелия,Республика Татарстан,Чувашская Республика,Камчатский край,Еврейская АО,Республика Марий Эл,Чеченская Республика,Чукотский АО,Ненецкий АО,Республика  Алтай,Калининград
2020-10-05,2020-10-05,https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=15565,10888,84.0,1225889.0,982324.0,85.0,3537.0,407.0,339.0,244.0,198.0,182.0,179.0,175.0,173.0,159.0,149.0,145.0,145.0,135.0,132.0,120.0,117.0,117.0,111.0,111.0,110.0,108.0,106.0,104.0,103.0,99.0,98.0,97.0,95.0,94.0,90.0,89.0,87.0,86.0,86.0,85.0,84.0,82.0,81.0,81.0,80.0,79.0,76.0,76.0,76.0,74.0,73.0,68.0,68.0,65.0,65.0,63.0,59.0,57.0,57.0,57.0,57.0,54.0,53.0,51.0,51.0,50.0,50.0,50.0,49.0,46.0,45.0,43.0,42.0,40.0,40.0,39.0,35.0,33.0,32.0,28.0,27.0,27.0,27.0,27.0,26.0,25.0,7.0,1.0,,,
2020-10-04,2020-10-04,https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=15559,10499,85.0,1215001.0,979143.0,85.0,3327.0,392.0,296.0,234.0,201.0,179.0,176.0,172.0,169.0,155.0,150.0,141.0,141.0,128.0,129.0,122.0,115.0,115.0,105.0,114.0,106.0,99.0,108.0,105.0,100.0,99.0,89.0,93.0,97.0,95.0,93.0,89.0,84.0,81.0,85.0,71.0,84.0,78.0,79.0,79.0,78.0,74.0,67.0,65.0,78.0,72.0,77.0,65.0,67.0,68.0,64.0,58.0,39.0,54.0,56.0,58.0,57.0,60.0,51.0,52.0,50.0,49.0,49.0,48.0,51.0,44.0,44.0,38.0,41.0,36.0,42.0,41.0,36.0,30.0,35.0,23.0,72.0,26.0,26.0,26.0,25.0,25.0,4.0,1.0,2.0,,
2020-10-03,2020-10-03,https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=15563,9859,85.0,1204502.0,975859.0,85.0,2884.0,358.0,259.0,219.0,199.0,177.0,160.0,165.0,168.0,153.0,153.0,129.0,134.0,135.0,124.0,113.0,118.0,111.0,96.0,111.0,99.0,97.0,98.0,103.0,98.0,98.0,84.0,91.0,106.0,93.0,96.0,87.0,86.0,79.0,87.0,70.0,85.0,79.0,80.0,78.0,77.0,72.0,65.0,64.0,79.0,67.0,79.0,59.0,69.0,67.0,60.0,53.0,37.0,48.0,57.0,57.0,55.0,60.0,66.0,49.0,49.0,48.0,48.0,47.0,54.0,44.0,43.0,36.0,39.0,39.0,39.0,37.0,36.0,33.0,34.0,26.0,72.0,27.0,28.0,27.0,18.0,25.0,6.0,3.0,1.0,,
2020-10-02,2020-10-02,https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=15546,9412,85.0,1194643.0,970296.0,85.0,2704.0,302.0,244.0,209.0,191.0,173.0,147.0,164.0,167.0,153.0,149.0,128.0,133.0,129.0,119.0,115.0,113.0,109.0,92.0,112.0,98.0,98.0,91.0,101.0,93.0,96.0,79.0,87.0,101.0,90.0,98.0,85.0,83.0,79.0,84.0,65.0,85.0,77.0,79.0,80.0,75.0,75.0,70.0,60.0,75.0,59.0,85.0,58.0,64.0,67.0,54.0,50.0,35.0,44.0,50.0,55.0,53.0,56.0,55.0,49.0,48.0,46.0,38.0,43.0,52.0,42.0,45.0,34.0,37.0,36.0,39.0,35.0,35.0,39.0,29.0,25.0,63.0,28.0,27.0,26.0,20.0,23.0,7.0,2.0,2.0,,
2020-10-01,2020-10-01,https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=15539,8945,85.0,1185231.0,964242.0,85.0,2424.0,285.0,230.0,205.0,186.0,171.0,141.0,157.0,162.0,147.0,151.0,125.0,132.0,127.0,132.0,116.0,118.0,109.0,93.0,112.0,139.0,92.0,89.0,98.0,90.0,89.0,75.0,81.0,96.0,87.0,97.0,80.0,81.0,76.0,66.0,62.0,85.0,75.0,77.0,79.0,72.0,71.0,61.0,59.0,79.0,54.0,82.0,56.0,61.0,69.0,46.0,51.0,36.0,42.0,49.0,51.0,50.0,57.0,48.0,45.0,45.0,45.0,30.0,42.0,53.0,41.0,42.0,35.0,39.0,35.0,38.0,34.0,34.0,44.0,22.0,20.0,44.0,26.0,26.0,25.0,16.0,24.0,6.0,2.0,1.0,,
2020-09-30,2020-09-30,https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=15530,8481,84.0,1176286.0,958257.0,85.0,2308.0,276.0,222.0,198.0,175.0,162.0,131.0,149.0,156.0,141.0,148.0,122.0,129.0,105.0,106.0,114.0,114.0,107.0,87.0,110.0,91.0,87.0,89.0,95.0,87.0,90.0,67.0,78.0,99.0,85.0,95.0,81.0,80.0,73.0,54.0,62.0,82.0,74.0,74.0,72.0,75.0,73.0,52.0,54.0,65.0,48.0,77.0,54.0,53.0,66.0,39.0,52.0,35.0,43.0,48.0,49.0,50.0,54.0,41.0,43.0,41.0,43.0,34.0,42.0,48.0,42.0,40.0,34.0,38.0,32.0,34.0,29.0,34.0,42.0,17.0,23.0,39.0,25.0,27.0,25.0,16.0,24.0,4.0,,2.0,,
2020-09-29,2020-09-29,https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=15518,8232,83.0,1167805.0,952399.0,85.0,2300.0,251.0,209.0,190.0,168.0,165.0,124.0,143.0,153.0,143.0,146.0,119.0,133.0,102.0,105.0,112.0,108.0,105.0,83.0,111.0,85.0,83.0,81.0,93.0,82.0,85.0,68.0,72.0,98.0,80.0,92.0,82.0,76.0,68.0,51.0,60.0,83.0,67.0,73.0,68.0,73.0,70.0,57.0,52.0,59.0,40.0,71.0,51.0,53.0,63.0,41.0,45.0,32.0,41.0,46.0,45.0,45.0,50.0,38.0,40.0,56.0,42.0,14.0,41.0,51.0,40.0,37.0,34.0,39.0,30.0,34.0,32.0,35.0,41.0,17.0,21.0,18.0,22.0,30.0,26.0,15.0,23.0,5.0,,,,
2020-09-28,2020-09-28,https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=15511,8135,84.0,1159573.0,945920.0,85.0,2217.0,237.0,212.0,193.0,165.0,158.0,115.0,146.0,150.0,151.0,144.0,118.0,109.0,103.0,102.0,107.0,100.0,103.0,81.0,110.0,83.0,85.0,71.0,89.0,86.0,88.0,66.0,74.0,96.0,87.0,89.0,70.0,75.0,62.0,107.0,55.0,82.0,63.0,72.0,61.0,71.0,69.0,62.0,50.0,68.0,42.0,69.0,53.0,52.0,61.0,53.0,40.0,30.0,40.0,47.0,43.0,42.0,48.0,36.0,41.0,57.0,42.0,37.0,40.0,45.0,39.0,37.0,32.0,37.0,28.0,35.0,30.0,35.0,43.0,24.0,23.0,30.0,23.0,28.0,25.0,15.0,23.0,6.0,2.0,,,
2020-09-27,2020-09-27,https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=15506,7867,83.0,1151438.0,943218.0,85.0,2016.0,227.0,226.0,188.0,167.0,161.0,115.0,141.0,141.0,144.0,147.0,117.0,98.0,104.0,106.0,103.0,95.0,101.0,77.0,110.0,77.0,76.0,75.0,87.0,82.0,86.0,68.0,71.0,98.0,84.0,85.0,78.0,73.0,65.0,78.0,57.0,82.0,62.0,69.0,64.0,69.0,68.0,51.0,37.0,70.0,52.0,76.0,50.0,49.0,67.0,56.0,44.0,31.0,39.0,48.0,42.0,42.0,51.0,32.0,39.0,56.0,41.0,41.0,40.0,51.0,39.0,36.0,33.0,36.0,30.0,37.0,33.0,36.0,42.0,25.0,21.0,40.0,25.0,26.0,24.0,15.0,22.0,4.0,,,,
2020-09-26,2020-09-26,https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=15504,7523,85.0,1143571.0,940150.0,85.0,1792.0,232.0,204.0,189.0,166.0,159.0,110.0,139.0,139.0,147.0,145.0,119.0,96.0,106.0,103.0,101.0,89.0,102.0,75.0,111.0,75.0,82.0,76.0,81.0,84.0,82.0,68.0,69.0,95.0,83.0,89.0,77.0,75.0,57.0,,56.0,84.0,59.0,69.0,73.0,62.0,71.0,48.0,38.0,72.0,42.0,72.0,48.0,46.0,61.0,54.0,42.0,33.0,36.0,47.0,41.0,42.0,53.0,28.0,40.0,43.0,40.0,44.0,39.0,49.0,38.0,36.0,31.0,34.0,32.0,37.0,31.0,35.0,37.0,19.0,18.0,38.0,23.0,27.0,25.0,16.0,23.0,5.0,3.0,1.0,65.0,
